id	name	platforms	ai_generated	victim_roles	demands	description	frequency	created_at	updated_at
ad7b531d-c0fc-4733-98cd-eab9856d1be4	irs_ssa_tax_impersonation	{phone,sms,web}		"{taxpayer,""elderly individual"",immigrant}"	{gift_card,wire,crypto,cash,other}	irs or ssa impersonation; threaten arrest deportation license; demand gift card wire crypto payment app; spoofed caller id; never mail-first tax contact; source:ftc source:irs source:ssa source:fcc source:ic3 source:bbb	6	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
398ad289-b9a9-4a73-869e-57e161e5985b	elder_gov_identity_wire_secrecy	{phone,sms}		"{""elderly individual""}"	{wire,crypto,cash,gift_card}	elder government identity threat; secrecy family block; wire crypto cash gold; source:ssa source:ftc source:bbb source:ic3 source:aarp	5	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
d1a0c9b1-549e-4698-9790-6de0cd0c4c44	elder_romance_whatsapp_owed_money	{other,sms,web}		"{""elderly individual"",""widowed parent"",""romance seeker""}"	{wire,crypto,cash,gift_card}	romance grooming dating apps social media; move off platform; emergency medical travel visa; wire crypto gift card; investment piggyback; source:ftc source:bbb source:scamwatch source:ic3 source:aarp	5	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
294eccde-cdfb-422e-a472-528a43281908	email_account_recovery_phish	{web,sms}		"{""account holder"",""email user""}"	{other}	phishing email bank utility; overdue invoice; click link steal credentials; top contact method; source:ftc source:irs source:cisa source:scamwatch source:ic3	5	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
06dfc36b-b890-47a2-a957-c20d0db9fb42	social_security_impersonation_suspend_ssn	{phone,sms,other}		"{""elderly individual"",""ssdi recipient"",""medicare enrollee""}"	{gift_card,wire,crypto,cash,other}	ssa oig impersonation; threaten ssn suspend benefits end; gold cash courier; move money protect it; fake badge photos; cola verify bait; source:ssa source:ftc source:fcc source:ic3 source:bbb	5	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
7b05c5b8-744c-47c8-b610-9a902130a7c8	caller_id_spoof_gov_robocall	{phone}		"{consumer,""elderly individual""}"	{gift_card,wire,crypto,other,cash}	caller id spoof government bank; robocall press key; ssa irs local pd numbers spoofed; source:fcc source:ssa source:irs source:ftc	4	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
e17ee68a-c00c-4125-98a3-a7dec64ce4bc	ceo_business_email_compromise	{web,other}		"{""finance employee"",""business owner"",executive}"	{wire,other}	business email compromise; spoof ceo vendor; wire instruction change; ai chat generator voice clone; source:ic3 source:scamwatch source:ftc source:cisa	4	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
22f3f27f-eb3c-426e-bc36-e0e45fcc50a1	cryptocurrency_chat_mentor_scam	{other,web,sms}		{investor,retiree}	{crypto,wire}	crypto investment chat mentor; social ads dating apps text; fake platform profits; loan encourage larger; withdrawal blocked fees taxes; source:ic3 source:ftc source:scamwatch source:bbb	4	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
23083545-6fe8-41bf-8c08-ec4d2539c60e	facebook_marketplace_payment_scam	{web,other}		"{""marketplace buyer"",""marketplace seller""}"	{cash,wire,crypto,other}	social media shopping ads; high-priced items cheap; brand impersonation; goods never arrive counterfeit; off-platform payment; source:ftc source:scamwatch source:bbb source:ic3	4	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
13aec865-70f3-4100-9e26-658acc8d9796	gift_card_retail_load_coercion	{phone,sms}		"{""elderly individual"",consumer}"	{gift_card}	coerce buy gift cards read pin photo numbers; itunes amazon google play steam target; government never asks gift cards; source:bbb source:ftc source:ssa source:irs	4	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
7539ed1b-46f6-4165-876e-6a28c39e8e03	grandma_family_emergency_wire	{phone,other}		"{""elderly individual"",grandparent}"	{wire,gift_card,cash,other}	grandparent family emergency; grandchild jail accident voice clone ai; secrecy dont tell parents; wire gift card cash; source:ftc source:bbb source:ic3 source:aarp	4	2026-09-19T13:55:00Z	2026-09-19T13:55:00Z
