id	name	platforms	ai_generated	victim_roles	demands	description	frequency	created_at	updated_at
23083545-6fe8-41bf-8c08-ec4d2539c60e	facebook_marketplace_payment_scam	{web,other}		"{""marketplace buyer"",""marketplace seller""}"	{cash,wire,crypto,other}	facebook marketplace payment off-platform; fake shipping confirmation; goods never arrive or buyer ghosts after payment	121	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
d1a0c9b1-549e-4698-9790-6de0cd0c4c44	elder_romance_whatsapp_owed_money	{other,sms}		"{""elderly individual"",""widowed parent"",""romance seeker""}"	{wire,crypto,cash}	long grooming romance; whatsapp financial expert owed money inheritance; secrecy family block; grief high-dollar loss	92	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
743cadf5-dfdf-432f-9673-3c75022ca279	job_offer_training_equipment_fee	{web,other,phone}		"{""job seeker""}"	{wire,crypto,gift_card,check,other}	fake job offer requires pay for training equipment background check or software; never reimbursed	79	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
ad7b68e4-5832-4ac7-a810-e38e8dab4779	rental_listing_deposit_scam	{web,other}		"{renter,""housing seeker""}"	{wire,cash,crypto,other}	fake apartment rental listing; deposit before viewing; landlord unreachable; google maps or facebook fake listing	55	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
335bb38c-97b3-4940-802e-b756c2c7f396	tiktok_shop_or_job_lure	{web,other}		"{""tiktok user"",""job seeker""}"	{crypto,wire,gift_card,other}	tiktok ad lure into fake shop job or investment; off-app telegram whatsapp; deposit or fee demands	53	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
53fcafc1-cf65-4808-b760-cde01d866f73	zelle_venmo_wrong_person_refund	{sms,other}		"{""payment app user""}"	{cash,other}	wrong person zelle venmo cashapp payment; scammer demands refund outside app; unsolicited payment then refund pressure	51	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
3239f942-a2ad-478f-80d2-0513fc8a13b7	ticket_resale_fake	{web,other}		"{""event goer"",""concert goer""}"	{cash,wire,crypto,other}	fake concert sports tickets via marketplace social; stubhub lookalike; tickets invalid at door	50	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
49b961bf-9ea9-40d5-8443-7d2c9f5779d4	sextortion_webcam_blackmail	{web,other,sms}		"{""webcam user"",""dating app user"",""young adult""}"	{crypto,gift_card,wire,cash}	webcam or dating-app lure; threat to leak intimate images unless paid; email-from-self variants; secret recording blackmail	46	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
157f6937-7693-4123-bbf1-a36fd7bd8058	paypal_friends_family_goods	{web,other}		"{""online buyer"",""online seller""}"	{cash,other}	paypal friends and family for goods; no seller protection; goods never shipped or item not as described pressure	44	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
bf9ca8bc-e63b-4a8f-8f95-e8c591e72cf6	instagram_account_report_lure	{web,other}		"{""instagram user"",""social media user""}"	{other}	accidentally reported your account lure; fake meta support; phishing login or verification to hijack account	42	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
516663c5-e9f3-4774-a66a-4c0d1b014e06	task_telegram_watch_to_earn	{web,other}		"{""job seeker"",""tiktok user"",""telegram user""}"	{crypto,wire}	tiktok telegram simple tasks watch videos get paid; early small payout then crypto deposit withdrawal fee; stream-to-earn brands	42	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
9914e0a2-eb7c-4ddb-a892-5f9e7da2f5bd	bank_amex_fbi_spoof_call	{phone}		"{""bank customer"",""elderly individual"",""family member""}"	{wire,cash,other}	caller-id spoof chase amex navy federal fraud dept; firearm purchase identity theft script; bridge to fake fbi nypd facetime legal; urgency secrecy	40	2026-09-19T07:20:00Z	2026-09-19T07:20:00Z
97aeb9c6-46c0-4d2c-87de-419887e19b5f	pig_butchering_crypto_romance	{other,web}		"{""romance seeker"",investor,""dating app user""}"	{crypto,wire}	pig butchering sha zhu pan; romance grooming into fake crypto trading platform; profits shown then withdrawal bl
